Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,WindGustDir_E,WindGustDir_ENE,WindGustDir_ESE,WindGustDir_N,WindGustDir_NE,WindGustDir_NNE,WindGustDir_NNW,WindGustDir_NW,WindGustDir_S,WindGustDir_SE,WindGustDir_SSE,WindGustDir_SSW,WindGustDir_SW,WindGustDir_W,WindGustDir_WNW,WindGustDir_WSW,WindDir9am_E,WindDir9am_ENE,WindDir9am_ESE,WindDir9am_N,WindDir9am_NE,WindDir9am_NNE,WindDir9am_NNW,WindDir9am_NW,WindDir9am_S,WindDir9am_SE,WindDir9am_SSE,WindDir9am_SSW,WindDir9am_SW,WindDir9am_W,WindDir9am_WNW,WindDir9am_WSW,WindDir3pm_E,WindDir3pm_ENE,WindDir3pm_ESE,WindDir3pm_N,WindDir3pm_NE,WindDir3pm_NNE,WindDir3pm_NNW,WindDir3pm_NW,WindDir3pm_S,WindDir3pm_SE,WindDir3pm_SSE,WindDir3pm_SSW,WindDir3pm_SW,WindDir3pm_W,WindDir3pm_WNW,WindDir3pm_WSW,RainTomorrow
2008-07-01,0.1089108910891089,0.189873417721519,0.0,0.0470588235294117,0.6546762589928057,0.0999999999999999,0.0,0.2258064516129032,0.9767441860465116,0.5164835164835165,0.7370892018779323,0.7688679245283048,0.25,0.375,0.0868263473053892,0.2583586626139818,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2008-07-02,0.231023102310231,0.25,0.0,0.1058823529411764,0.5035971223021583,0.1285714285714285,0.2,0.2903225806451612,0.7790697674418605,0.3626373626373627,0.6549295774647845,0.6391509433962277,0.0,0.75,0.1646706586826347,0.3069908814589665,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2008-07-03,0.2343234323432343,0.2246835443037974,0.0070175438596491,0.1294117647058823,0.5251798561151079,0.2571428571428571,0.0,0.1290322580645161,0.8255813953488371,0.7142857142857144,0.4835680751173683,0.5589622641509457,0.125,0.375,0.1946107784431137,0.2462006079027356,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
2008-07-04,0.3333333333333333,0.2025316455696202,0.031578947368421,0.0705882352941176,0.3381294964028777,0.1857142857142857,0.3666666666666666,0.1935483870967742,0.9302325581395348,0.7362637362637363,0.5422535211267565,0.6250000000000036,0.75,0.75,0.2275449101796407,0.2462006079027356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2008-07-05,0.3333333333333333,0.1139240506329113,0.031578947368421,0.0823529411764705,0.3525179856115108,0.4428571428571428,0.4333333333333333,0.5483870967741935,0.6511627906976745,0.5604395604395604,0.568075117370892,0.7122641509433976,0.875,0.625,0.3083832335329342,0.1945288753799392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
2008-07-06,0.0429042904290428,0.0981012658227847,0.119298245614035,0.1411764705882353,0.6690647482014389,0.1571428571428571,0.1333333333333333,0.2258064516129032,0.8488372093023255,0.3846153846153846,0.84037558685446,0.8891509433962277,0.0,0.125,0.0389221556886227,0.1793313069908815,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2008-07-07,0.0429042904290428,0.1740506329113924,0.0,0.0470588235294117,0.6690647482014389,0.3428571428571428,0.5,0.4193548387096774,0.6860465116279069,0.3296703296703297,0.7676056338028197,0.7617924528301927,0.125,0.625,0.092814371257485,0.2522796352583586,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2008-07-08,0.1254125412541254,0.240506329113924,0.0,0.0823529411764705,0.4964028776978417,0.1571428571428571,0.3,0.4193548387096774,0.5232558139534884,0.3956043956043956,0.6502347417840362,0.6886792452830228,0.75,0.625,0.1377245508982035,0.2948328267477204,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2008-07-09,0.3432343234323432,0.2120253164556962,0.1403508771929824,0.0705882352941176,0.1798561151079136,0.2571428571428571,0.0,0.2903225806451612,0.9767441860465116,0.6373626373626374,0.7089201877934279,0.7783018867924589,0.875,0.75,0.1946107784431137,0.2765957446808511,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2008-07-10,0.3894389438943894,0.240506329113924,0.0807017543859649,0.1647058823529411,0.1223021582733812,0.4714285714285714,0.6333333333333333,0.3548387096774194,0.7674418604651163,0.4835164835164836,0.5633802816901401,0.5212264150943433,0.875,0.875,0.2335329341317365,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
